"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
"A",,,,,,
54,"0316","本","běn ","B","(M)","individual measure word for books or magazines, etc."
55,"0318","本來","běnlái ","B","(Adv)","originally"
56,"0317","本子","běnzi ","B","(N)","book, notebook, edition"
57,"1026","笨","bèn ","B","(VS)","stupid, dull, clumsy, awkward, cumbersome"
58,"1352","鼻(子)","bí(zi) ","B","(N)","nose"
59,"1128","筆","bǐ ","B","(N)","pen"
61,"0204","比","bǐ ","B","(Prep)","to compare; compared to, than"
62,"0205","比","bǐ ","B","(VA)","to gesture with the hand to indicate (the shape, size of something)"
63,"0206","比較","bǐjiào ","B","(Adv)","relatively, fairly"
64,"0207","比賽","bǐsài ","B","(N)","match, competition"
65,"0208","比賽","bǐsài ","B","(VA)","compete in a game/activity/match"
66,"0310","必須","bìxū ","B","(Adv)","must"
67,"1020","畢業","bìyè ","B","(VS)","to graduate from a school"
68,"1509","邊(兒)","biān(ér)","B","(N)","border, boundary"
69,"1273","遍","biàn ","B","(M)","measure word for the course of an action from the beginning to the end"
70,"1540","變","biàn ","B","(VS)","become, change into; to perform"
71,"1541","變","biàn ","B","(VA)","become, change into"
72,"1544","變成","biànchéng ","B","(VA)","to change into"
73,"1542","變化","biànhuà ","B","(N)","change, transformation"
74,"1543","變化","biànhuà ","B","(VS)","to change, vary"
75,"1437","錶","biăo ","B","(N)","watch"
76,"0691","表","biăo ","B","(N)","table, form, list"
77,"0692","表現","biăoxiàn ","B","(N)","manifestation, expression"
78,"0693","表現","biăoxiàn ","B","(VA)","show, display, show off"
79,"0694","表演","biăoyăn ","B","(VA)","to perform, act, play, demonstrate"
80,"0695","表演","biăoyăn ","B","(N)","performance"
81,"0503","別","bié ","B","(Adv)","don't"
82,"0505","別的","biéde ","B","(Det)","other, another, some other"
83,"0504","別人","biérén ","B","(N)","other people"
84,"0365","冰","bīng ","B","(N)","ice"
85,"0366","冰塊(兒)","bīngkuài(ér) ","B","(N)","ice cube"
86,"0367","冰箱","bīngxiāng ","B","(N)","refrigerator"
87,"1350","餅","bǐng ","B","(N)","round flat cake"
88,"1351","餅乾","bǐnggān ","B","(N)","biscuit, cracker, cookie"
89,"0891","病","bìng ","B","(N)","illness, disease"
90,"0892","病","bìng ","B","(VS)","to becme ill, to be sick"
91,"0893","病人","bìngrén  ","B","(N)","patient"
92,"0114","不必","búbì ","B","(Adv)","need not, not have to"
93,"0127","不錯","búcuò ","B","(VS)","to be not bad, pretty good"
94,"0119","不但","búdàn ","B","(Conj)","not only"
95,"0125","不過","búguò ","B","(Conj)","but, however"
96,"0120","不見(了)","bújiàn(le) ","B","(VS)","disappear, be lost"
97,"0121","不客氣","búkèqì ","B","(VS)","you're welcome"
98,"0122","不要","búyào ","B","(Adv)","don't want, don't (do sth.)"
99,"0123","不要緊","búyàojǐn ","B","(VS)","unimportant, never mind"
100,"0115","不用","búyòng ","B","(Adv)","need not, don't have to"
101,"0306","布","bù ","B","(N)","cloth"
102,"1055","部","bù ","B","(M)","(1)measure word for films, books, etc.; (2)measure word for machines, vehicles, telephones, etc."
103,"0108","不","bù ","B","(Adv)","not, no"
104,"0124","不得了","bùdéliăo ","B","(VS)","to be extremely, to be exceedingly"
105,"1056","部分","bùfèn ","B","(Det)","part, section"
106,"1057","部分/份","bùfèn ","B","(N)","part, in part"
107,"0126","不管","bùguăn ","B","(Conj)","no matter, regardless of"
108,"0117","不好意思","bùhăoyìsi ","B","(VS)","to feel embarrassed; to be ill at ease"
109,"0110","不久","bùjiŭ ","B","(N)","not long after"
110,"0113","不可","bùkě ","B","(Adv)","cannot, should not, must not"
111,"0111","不少","bùshăo ","B","(VS)","a lot of"
112,"0112","不少","bùshăo ","B","(Det)","not few, many"
113,"0116","不同","bùtóng ","B","(VS)","different"
114,"0118","不行","bùxíng ","B","(VS)","be not permitted"
115,"0109","不一定","bùyídìng ","B","(Adv)","uncertain, not for sure, not necessarily"
"C",,,,,,
116,"1459","擦","cā ","B","(VA)","to rub, to wipe, to clean"
117,"1012","猜","cāi  ","B","(VA)","to guess, suspect"
118,"0107","才","cái","B","(Adv)","not until, only then , only, merely"
119,"1139","菜","cài ","B","(N)","food, cuisine"
120,"1140","菜單","càidān ","B","(N)","menu"
121,"0951","參觀","cānguān ","B","(VA)","to visit a place, exhibition, etc."
122,"0950","參加","cānjiā ","B","(VA)","to attend, to participate"
123,"1449","餐廳","cāntīng ","B","(N)","restaurant"
124,"1448","餐桌","cānzhuō ","B","(N)","dining table"
125,"0912","草","căo ","B","(N)","grass"
126,"0913","草地","căodì ","B","(N)","lawn"
127,"0914","草原","căoyuán ","B","(N)","grasslands, prairie"
128,"1083","廁所","cèsuǒ ","B","(N)","toilet"
129,"1141","詞","cí ","B","(N)","words, phrase, part of speech"
130,"0465","次","cì ","B","(M)","measure word for the number of repetitions in a given period of time"
131,"1468","聰明","cōngmíng ","B","(VS)","to be intelligent"
132,"0978","從","cóng ","B","(Prep)","from"
133,"0979","從來","cónglái ","B","(Adv)","all along, at all times, always"
134,"0980","從前","cóngqián ","B","(N)","formerly, in the past, used to"
135,"1404","醋","cù ","B","(N)","vinegar"
136,"1438","錯","cuò ","B","(VS)","to be wrong / mistake"
137,"1439","錯","cuò ","B","(N)","mistake, error, blunder"
138,"1440","錯誤","cuòwù ","B","(N)","error, blunder"
139,"0070","叉子","chāzi ","B","(N)","fork"
140,"0915","茶","chá ","B","(N)","tea"
141,"0764","查","chá ","B","(VA)","to check, investigate, look up"
142,"0859","差","chà","B","(VS)","(1)inferior, poor; (2)be short, lack"
143,"0861","差不多","chàbùduō ","B","(VS)","be similar to, be about the same…"
144,"0860","差(一)點(兒)","chà(yì)diăn(ér) ","B","(Adv)","nearly"
145,"1019","產品","chănpǐn ","B","(N)","product"
146,"0698","長","cháng ","B","(VS)","long"
147,"0969","常","cháng ","B","(Adv)","often, usually, generally"
148,"0970","常常","chángcháng ","B","(Adv)","often, frequently"
149,"1077","場","chăng ","B","(M)","(1)measure word for the course of a natural phenomenon; (2)measure word for the frequency of certain activities such as examinations; (3)measure word for recreational activities"
150,"0956","唱","chàng ","B","(VA)","to sing"
151,"0957","唱歌","chànggē ","B","(VA)","to sing"
152,"1149","超級市場","chāojíshìchăng ","B","(N)","supermarket"
153,"0511","吵","chăo ","B","(VA)","to make a noise, to disturb, to quarrel/ to be noisy"
154,"0575","車(子)","chē(zi) ","B","(N)","car, vehicle "
155,"0576","車站","chēzhàn ","B","(N)","station"
156,"1536","襯衫","chènshān ","B","(N)","shirt"
157,"0442","成","chéng ","B","(VA)","to become, turn into"
158,"1122","程度","chéngdù ","B","(N)","degree, level, extent"
159,"0443","成功","chénggōng ","B","(VS)","succeed"
160,"0444","成績","chéngjī ","B","(N)","result, achievement, success"
161,"1252","誠實","chéngshí ","B","(VS)","honest"
162,"0730","城市","chéngshì ","B","(N)","city"
163,"0382","吃","chī ","B","(VA)","to eat,to have one's meals"
164,"0383","吃飯","chīfàn ","B","(VA)","to eat, to have a meal"
165,"1436","遲到","chídào ","B","(VS)","to be/come/arrive late"
166,"0177","尺","chǐ ","B","(M)","a unit for measuring length"
167,"0648","抽","chōu ","B","(VA)","(1)to draw out (from among); (2)to pump"
168,"0911","臭","chòu ","B","(VS)","foul, stinking, malodorous"
169,"0244","出","chū ","B","(VA)","(1)produce, turn out, arise, happen; (2)issue, put out, post, put forth, vent, rise well (in cooking), pay out, expend"
170,"0249","出發","chūfā ","B","(VA)","to set out, start off, start/proceed from"
171,"0247","出國","chūguó ","B","(VA)","go abroad (from one's own country)"
172,"0246","出來","chūlái ","B","(VA)","to come out"
173,"0245","出去","chūqù ","B","(VA)","to go out, to leave"
174,"0248","出現","chūxiàn ","B","(VS)","to appear, to arise, to emerge"
175,"1359","廚房","chúfáng ","B","(N)","kitchen"
176,"0928","除了","chúle ","B","(Prep)","besides, except for"
177,"0790","穿","chuān ","B","(VA)","to wear,to put on,to be dressed in"
178,"1035","船(兒)","chuán(ér)","B","(N)","ship, boat"
179,"1555","串","chuàn ","B","(M)","collective measure word for something of the same kind or attached closely together"
180,"1123","窗(子)","chuāng(zi) ","B","(N)","window"
181,"1124","窗戶","chuānghù ","B","(N)","window"
182,"0522","床","chuáng ","B","(N)","bed"
183,"0510","吹","chuī ","B","(VA)","blow, puff, play(wind instruments)  "
184,"0754","春","chūn ","B","(N)","spring"
185,"0756","春節","chūnjié ","B","(N)","the Chinese New Year"
186,"0755","春天","chūntiān ","B","(N)","spring, springtime"
"D",,,,,,
187,"1130","答應","dāyìng ","B","(VA)","answer, reply"
188,"0311","打","dă ","B","(VA)","to hit, to beat, to strike"
189,"0313","打電話","dădiànhuà ","B","(VA)","make a telephone call"
190,"0312","打掃","dăsăo ","B","(VA)","to sweep, to clean"
191,"0314","打算","dăsuàn ","B","(VA)","to plan"
192,"0077","大","dà ","B","(VS)","to be big, to be large"
193,"0081","大部分/份","dàbùfèn ","B","(Det)","most of, the majority of"
194,"0083","大概","dàgài ","B","(Adv)","probably"
195,"0080","大家","dàjiā ","B","(N)","all of us, everyone"
196,"0084","大樓","dàlóu ","B","(N)","multi-storied building"
197,"0082","大陸","dàlù ","B","(N)","mainland, continent, Mainland China"
198,"0078","大人","dàrén ","B","(N)","adult"
199,"0086","大聲","dàshēng ","B","(VS)","loud"
200,"0085","大學","dàxué ","B","(N)","university"
201,"0079","大衣","dàyī ","B","(N)","overcoat, topcoat"
202,"1039","袋","dài ","B","(M)","container measure word for things in a bag or a sack"
203,"0971","帶","dài","B","(VA)","(1)take, bring, bear; (2)lead"
204,"1456","戴","dài","B","(VA)","to wear (hat,watch, jewelry etc.)"
205,"0239","代表","dàibiăo ","B","(VA)","to represent, to stand for"
206,"0240","代表","dàibiăo ","B","(N)","representative, delegate"
207,"1040","袋子","dàizi ","B","(N)","bag, sack"
208,"1413","擔心","dānxīn ","B","(VS)","to worry, feel anxious"
209,"1007","淡","dàn ","B","(VS)","(1)tasteless, weak, thin, light, pale; (2)indifferent, trivial, dull"
210,"1036","蛋","dàn ","B","(N)","egg"
211,"1037","蛋糕","dàngāo ","B","(N)","cake"
212,"0493","但是","dànshì ","B","(Conj)","but, still, however"
213,"1222","當","dāng ","B","(Prep)","at(the time of), while"
214,"1223","當","dāng ","B","(VA)","to work as, to serve as"
215,"1224","當然","dāngrán ","B","(Adv)","certainly, of course"
216,1549,"當中","dāngzhōng ","B","(N)","among"
217,"0031","刀","dāo ","B","(N)","knife, sword, blade"
218,"0032","刀子","dāozi ","B","(N)","small knife, dagger, pocketknife"
219,"0831","倒","dăo ","B","(VA)","to fall over, to topple, to collapse"
220,"1264","道","dào ","B","(M)","individual measure word for a course of a meal"
221,"0606","到","dào ","B","(Conj)","(from…) to"
222,"0607","到","dào ","B","(Prep)","up until"
223,"0608","到","dào ","B","(VA)","to arrive, reach, go to"
224,"0610","到處","dàochù ","B","(Adv)","everywhere"
225,"0609","到底","dàodǐ ","B","(Adv)","to the end, at last, after all"
226,"1265","道理","dàolǐ ","B","(N)","reason, rationality, the right way"
227,"0678","的","de ","B","(P)","(1)possessive particle; (2)common adj. particle; (3)common adv. particle"
228,"0679","的","de ","B","(P)"," emphasizing an action/situation; used in assertion"
229,"0973","得","de ","B","(P)","a particle used between a verb or adjective and its complement to indicate manner or degree."
230,"0977","得很","dehěn ","B","(Adv_P)","very, quite, awfully"
231,"0680","的話","dehuà ","B","(Post)","if"
232,"0974","得","dé ","B","(VS)","to get, take (sick)"
233,"0976","得到","dédào ","B","(VS)","succeed in obtaining, gain, receive"
234,"0975","得","děi","B","(Adv)","should be, need"
235,"1423","燈","dēng ","B","(N)","lamp, lantern, light"
236,"1125","等","děng ","B","(Prep)","and so on, etc"
237,"1126","等","děng ","B","(Post)","till"
238,"1127","等","děng ","B","(VA)","to wait"
239,"0498","低","dī ","B","(VS)","to be low"
240,"0630","底","dǐ ","B","(Post)","end of period"
241,"0631","底下","dǐxià ","B","(N)","under, below, beneath"
242,"1027","第","dì ","B","(Det)","marker of ordinal numerals"
243,"0393","地","dì ","B","(P)","common adv. particle"
244,"0394","地","dì ","B","(N)","the earth, land, soil, fields, ground"
245,"0395","地","dì ","B","(N)","an area, a region, a district, locality"
246,"0524","弟弟","dìdi ","B","(N)","younger brother"
247,"0397","地方","dìfāng ","B","(N)","place"
248,"0399","地區","dìqū ","B","(N)","area, district, region"
249,"0400","地圖","dìtú ","B","(N)","map"
250,"0396","地下","dìxià ","B","(N)","underground"
251,"0398","地址","dìzhǐ ","B","(N)","address"
252,"1480","點","diăn ","B","(N)","dot"
253,"1481","點","diăn ","B","(M)","partial measure word for a small quantity of things"
254,"1482","點","diăn ","B","(VA)","(1)to nod; (2)to order food"
255,"1485","點菜","diăncài ","B","(VA)","to order food"
256,"1483","點(兒)","diăn(ér) ","B","(Adv_P)","a bit"
257,"1484","點心","diănxīn ","B","(N)","a snack, light refreshment"
258,"1486","點鐘","diănzhōng ","B","(M)","measure word for o'clock"
259,"0629","店","diàn ","B","(N)","shop, store, inn"
260,"1275","電","diàn ","B","(N)","electricity"
261,"1276","電車","diànchē ","B","(N)","tram, tramcar, streetcar, trolleybus, trolley"
262,"1282","電燈","diàndēng ","B","(N)","electric lamp/light"
263,"1279","電話","diànhuà ","B","(N)","telephone, phone call"
264,"1278","電腦","diànnăo ","B","(N)","computer"
265,"1277","電視","diànshì ","B","(N)","television, TV"
266,"1280","電影","diànyǐng ","B","(N)","movie"
267,"1281","電影院","diànyǐngyuàn ","B","(N)","cinema, movie(house)"
268,"0987","掉","diào ","B","(VS)","to fall,  to drop, to lose"
269,"0349","丟1","diū ","B","(VA)","throw, toss, throw away"
270,"0350","丟2","diū ","B","(VS)","lose, misplace"
271,"0242","冬","dōng ","B","(N)","winter"
272,"0243","冬天","dōngtiān ","B","(N)","winter, wintertime"
273,"0663","東","dōng ","B","(N)","east"
274,"0665","東邊","dōngbiān ","B","(N)","east"
275,"0664","東西","dōngxī ","B","(N)","thing"
276,"1455","懂","dǒng ","B","(VS)","to understand"
277,"0947","動","dòng ","B","(VA)","to move; to be moved"
278,"0948","動物","dòngwù ","B","(N)","animal"
279,"0949","動物園","dòngwùyuán ","B","(N)","zoo"
280,"1058","都","dōu ","B","(Adv)","all, both"
281,"1537","讀","dú ","B","(VA)","read (aloud), attend school"
282,"1538","讀書","dúshū ","B","(VA)","to study, to read"
283,"0737","度","dù ","B","(M)","measure word for temperature"
284,"0567","肚子","dùzi","B","(N)","stomach, belly, abdomen"
285,"1121","短","duăn ","B","(VS)","to be short"
286,"0765","段","duàn ","B","(M)","(1)measure word for a part of something; (2)measure word for a part cut from something long and narrow; (3)measure word for a length of time or some distance"
287,"1295","對","duì ","B","(M)","measure word for two things associated or used together"
288,"1296","對","duì ","B","(Prep)","toward"
289,"1297","對","duì ","B","(VS)","to be right, correct"
290,"1298","對","duì ","B","(VA)","(1)answer, reply, treat; (2)to face, encounter; (3)compare, check, set, adjust"
291,"1300","對不起","duìbùqǐ ","B","(VS)","I'm sorry; Excuse me"
292,"1301","對方","duìfāng ","B","(N)","other side/party"
293,"1299","對了","duìle ","B","(VS)","(1)That's it; (2)by the way"
294,"1302","對面","duìmiàn ","B","(N)","the other side, place across from"
295,"1288","頓","dùn ","B","(M)","individual measure word for regular meals"
296,"0404","多","duō ","B","(VS)","many, much, more, more than the correct/required number, excessive, too much, much/far more"
297,"0405","多","duō ","B","(Adv)","to what degree, how..."
298,"0406","多","duō ","B","(Det)","more than, much more"
299,"0407","多","duō ","B","(Adv)","more than the correct/required number, much/far more"
300,"0409","多麼","duóme ","B","(Adv)","how, what"
301,"0408","多少","duōshăo ","B","(Det)","somewhat; to some extent"
302,"0464","朵","duǒ ","B","(M)","individual measure word for flowers and cloud"
"E",,,,,,
303,"1406","餓","è ","B","(VS)","to be hungry"
304,"1182","嗯","ēn ","B","(P)","use to indciate agreement"
305,"0599","兒童","értóng ","B","(N)","children"
306,"0598","兒子","érzi ","B","(N)","son"
307,"0478","耳朵","ěrduo","B","(N)","ear"
308,"0023","二","èr ","B","(Det)","two, second"
"F",,,,,,
309,"1115","發","fā ","B","(VA)","to distribute, to issue (a handbill)"
310,"1119","發票","fāpiào ","B","(N)","invoice"
311,"1120","發燒","fāshāo ","B","(VS)","to be under an attack of fever"
312,"1116","發生","fāshēng ","B","(VS)","to happen, to occur, take place"
313,"1117","發現","fāxiàn ","B","(VA)","to find, to discover"
314,"1118","發現","fāxiàn ","B","(N)","discovery"
315,"1173","飯","fàn ","B","(N)","food, meal"
316,"1174","飯店","fàndiàn ","B","(N)","hotel, restaurant"
317,"0193","方便","fāngbiàn ","B","(VS)","to be convenient"
318,"0192","方法","fāngfă ","B","(N)","method, way, means"
319,"0194","方面","fāngmiàn ","B","(N)","aspect, side, facet"
320,"0191","方式","fāngshì ","B","(N)","way, fashion, pattern"
321,"0190","方向","fāngxiàng ","B","(N)","direction, orientation"
322,"0641","房東","fángdōng ","B","(N)","a landlord or landlady, a lessor"
323,"0643","房間","fángjiān ","B","(N)","room"
324,"0640","房子","fángzi","B","(N)","house"
325,"0642","房租","fángzū ","B","(N)","rent"
326,"1041","訪問","făngwèn ","B","(VA)","to visit, to call on, to interview"
327,"0653","放","fàng ","B","(VA)","to put, to release"
328,"0655","放假","fàngjià ","B","(VS)","to have a holiday, vacation"
329,"0654","放心","fàngxīn ","B","(VS)","to be at ease, not worry"
330,"0824","飛","fēi ","B","(VA)","to fly,hover/flutter in the air"
331,"0710","非常","fēicháng ","B","(Adv)","very, extremely"
332,"0825","飛機","fēijī ","B","(N)","airplane"
333,"1143","費用","fèiyòng ","B","(N)","cost, expenses"
334,"0159","分","fēn","B","(VA)","to distribute, allot"
335,"0160","分","fēn","B","(VA)","to separate, distinguish, differentiate, discriminate"
336,"0161","分","fēn ","B","(M)","1/100 of a yuan; cent"
337,"0162","分鐘","fēnzhōng ","B","(M)","minute"
338,"0356","份","fèn ","B","(M)","(1)partial measure word for part of the whole; (2)measure word for a set of food; (3)measure word for documents, newspapers, etc."
339,"0822","風","fēng ","B","(N)","wind"
340,"0735","封","fēng ","B","(M)","measure word for letters, telegrams, etc."
341,"1494","豐富","fēngfù ","B","(VS)","rich, abundant, plentiful"
342,"0823","風景","fēngjǐng ","B","(N)","scenery, landscape"
343,"0660","服務","fúwù ","B","(VA)","be in the service of, to serve"
344,"0661","服務生","fúwùshēng ","B","(N)","attendant, service person, waiter"
345,"0236","付","fù ","B","(VA)","to pay"
346,"0704","附近","fùjìn ","B","(N)","nearby"
347,"0218","父親","fùqīn ","B","(N)","father"
348,"1387","複習","fùxí ","B","(VA)","to review (a lesson, etc.)"
349,"0814","負責","fùzé ","B","(VS)","be responsible for, be in charge of"
"G",,,,,,
350,"1249","該","gāi ","B","(Adv)","ought to, should; be supposed to"
351,"1250","該","gāi ","B","(VS)","be sb.'s turn to do sth."
352,"0538","改","găi ","B","(VA)","to change, to alter, to correct"
353,"0539","改變","găibiàn ","B","(VA)","to change, to alter, to ransform"
354,"0540","改變","găibiàn ","B","(N)","change"
355,"0935","乾","gān ","B","(VS)","to be dry"
356,"0936","乾淨","gānjìng ","B","(VS)","to be clean"
357,"1088","敢","găn ","B","(VS)","to dare"
358,"1193","感覺","gănjué ","B","(N)","sense, perception, feeling"
359,"1194","感覺","gănjué ","B","(VS)","to feel, to perceive, to become aware of"
360,"1340","趕快","gănkuài ","B","(Adv)","quickly, hastily"
361,"1191","感冒","gănmào ","B","(VS)","to have a cold; cold, flu"
362,"1192","感謝","gănxiè ","B","(VS)","to thank, to be grateful"
363,"0834","剛","gāng ","B","(Adv)","just, only a short while ago"
364,"0835","剛才","gāngcái ","B","(N)","just now"
365,"0836","剛剛","gānggāng ","B","(Adv)","just now"
366,"0933","高","gāo ","B","(VS)","to be tall, to be high"
367,"0934","高興","gāoxìng ","B","(VS)","to be happy"
368,"0509","告訴","gàosù ","B","(VA)","to tell, to inform"
369,"1308","歌(兒)","gē(ér) ","B","(N)","song"
370,"0840","哥哥","gēge ","B","(N)","elder brother"
371,"0375","各","gè ","B","(Det)","each, every"
372,"0832","個","ge ","B","(M)","(1)individual measure word for persons and material things; (2)individual measure word for areas, units, etc.; (3)individual measure word for date, time, etc.; (4)individual measure word for some abstract nouns"
373,"0833","個人","gèrén ","B","(N)","individual person"
374,"0376","各位","gèwèi ","B","(N)","everyone"
375,"1134","給","gěi ","B","(Prep)","for, for the benefit of, by (in passive cons.)"
376,"1135","給","gěi ","B","(VA)","to give, give to"
377,"0878","根","gēn ","B","(N)","roots of a plant, the base"
378,"0879","根","gēn ","B","(M)","(1)individual measure word for long things; (2)individual measure word for soft and slender things; (3)individual measure word for slender plants; (4)individual measure word for slender parts of the human body"
379,"1254","跟","gēn ","B","(Conj)","and"
380,"1255","跟","gēn ","B","(Prep)","with"
381,"1256","跟","gēn ","B","(VA)","follow"
382,"0541","更","gèng ","B","(Adv)","even more, still more"
383,"0153","公車","gōngchē ","B","(N)","bus"
384,"0154","公車站","gōngchēzhàn ","B","(N)","bus stop"
385,"0147","公尺","gōngchǐ ","B","(M)","meter"
386,"0146","公分","gōngfēn ","B","(M)","centimeter"
387,"0150","公共","gōnggòng ","B","(VS)","public, common, communal"
388,"0151","公共汽車","gōnggòngqìchē ","B","(N)","bus"
389,"0148","公斤","gōngjīn ","B","(M)","kilogram"
390,"0155","公里","gōnglǐ ","B","(M)","kilometer"
391,"0158","公路","gōnglù ","B","(N)","highway, road"
392,"0152","公克","gōngkè ","B","(M)","gram"
393,"0251","功課","gōngkè ","B","(N)","homework"
394,"0103","工人","gōngrén ","B","(N)","worker"
395,"0149","公司","gōngsī ","B","(N)","company"
396,"0862","恭喜","gōngxǐ ","B","(VS)","to congratulate"
397,"0156","公寓","gōngyù ","B","(N)","apartment building"
398,"0157","公園","gōngyuán ","B","(N)","park"
399,"0104","工作","gōngzuò ","B","(N)","work, job"
400,"0105","工作","gōngzuò ","B","(VA)","to work"
401,"0362","共","gòng ","B","(Adv)","together, altogether, in all"
402,"0676","狗(兒)","gǒu(ér) ","B","(N)","dog"
403,"0963","夠","gòu ","B","(Adv)","quite"
404,"0964","夠","gòu ","B","(Adv_P)","enough"
405,"0965","夠","gòu ","B","(VS)","be enough/sufficient/adequate"
406,"0753","故事","gùshì ","B","(N)","story"
407,"0611","刮","guā ","B","(VA)","to shave"
408,"0988","掛","guà ","B","(VA)","to hang"
409,"0589","乖","guāi ","B","(VS)","well-behaved"
410,"0636","怪","guài ","B","(VS)","to be strange, to be queer, to be unusual"
411,"1510","關","guān ","B","(VA)","to close; to turn off"
412,"1511","關","guān ","B","(VS)","to concern, implicate"
413,"1513","關係","guānxì ","B","(N)","relationship"
414,"1512","關心","guānxīn ","B","(VS)","be concerned about"
415,"1550","罐","guàn ","B","(M)","a can of"
416,"1360","廣播","guăngbò ","B","(VA)","to broadcast"
417,"1361","廣播","guăngbò ","B","(N)","broadcasting"
418,"1144","貴","guì ","B","(VS)","to be expensive"
419,"1145","貴姓","guìxìng ","B","(VS)","What's your last name?"
420,"0961","國","guó ","B","(N)","country, nation"
421,"0962","國家","guójiā ","B","(N)","nation, country"
422,"0666","果汁","guǒzhī ","B","(N)","fruit juice"
423,"1267","過","guò ","B",,"a suffix indicating completion of an action, or completion of an action as an experience"
424,"1268","過","guò ","B","(VA)","to pass"
425,"1272","過來","guòlái ","B","(VA)","come over/up, come here"
426,"1271","過年","guònián ","B","(VA)","to celebrate the Chinese New Year"
427,"1269","過去","guòqù ","B","(N)","in the past, formerly"
428,"1270","過去","guòqù ","B","(VA)","go over, pass by"
"H",,,,,,
429,"1475","還","hái ","B","(Adv)","still, yet, also, too, as well, besides"
430,"1477","還是","háishì ","B","(Conj)","or"
431,"1478","還是","háishì ","B","(Adv)","still, nevertheless"
432,"0731","孩子","háizi ","B","(N)","child"
433,"0883","海","hăi ","B","(N)","the sea"
434,"0885","海邊","hăibiān ","B","(N)","sea beach, alongside the sea, coast"
435,"0884","海洋","hăiyáng ","B","(N)","seas and oceans, ocean"
436,"0851","害","hài ","B","(VA)","to cause trouble to, to impair"
437,"0852","害怕","hàipà ","B","(VS)","be afraid/ scared"
438,"1079","寒假","hánjià ","B","(N)","winter vacation"
